일시,1.5M 평균 습도(%),10CM 일 토양수분(%),20CM 일 토양수분(%),30CM 일 토양수분(%),50CM 일 토양수분(%),1.5M 평균 기온(°C),평균 지면온도(°C),5CM 평균 지중온도(°C),30CM 평균 지중온도(°C),0.5M 일 지중온도(°C),1.0M 일 지중온도(°C),일사량,일조시간,최대 풍속
2011.1.1,77,8,11,15,14,-8.4,-2.8,-2.3,-1,2.5,7.4,9.72,7.4,2.1
2011.1.2,88,9,11,15,14,-8,-2.8,-2.3,-0.9,,,7.02,4.2,2.4
2011.1.3,81,9,11,15,14,-6.5,-3,-2.4,-1,,,8.14,6.3,1.7
2011.1.4,80,9,11,15,14,-5.4,-2.8,-2.3,-1,2,7,7.63,5.3,5
2011.1.5,68,9,11,14,14,-3.7,-2.3,-1.9,-0.8,,,9.65,6.3,8.1
2011.1.6,72,9,11,15,14,-9.2,-3.7,-3.2,-1.2,2,6.8,10.53,8,5.3
2011.1.7,68,8,11,16,14,-9.8,-4.3,-3.8,-1.5,2,6.8,9.78,7.7,5
2011.1.8,88,7,11,15,14,-8.5,-4.2,-3.7,-1.6,,,4.68,1.5,2.5
2011.1.9,63,7,10,15,14,-6.6,-3.5,-3,-1.2,1.6,6.5,10.11,7.8,6.8
2011.1.10,66,7,10,15,14,-10.6,-4.7,-4.4,-1.8,,,10.75,7.8,3.4
2011.1.11,71,6,10,14,14,-7.4,-4.1,-3.6,-1.7,,,7.54,3.2,8.8
2011.1.12,58,6,10,13,14,-9.5,-4.1,-3.9,-1.7,,,11.42,8.2,6.5
2011.1.13,66,6,9,13,14,-10.2,-5,-4.7,-2.1,1.1,6,11.02,8,2.7
2011.1.14,73,6,9,13,18,-6.2,-3.9,-3.4,-1.7,,,7.33,3.8,4
2011.1.15,52,6,9,12,19,-12.8,-4.3,-4.4,-1.9,,,10.6,7.8,11.9
2011.1.16,59,5,8,12,19,-16,-5.6,-6,-2.7,0.9,5.3,11.56,8.3,4.3
2011.1.17,60,5,7,11,19,-12.5,-5.5,-5.7,-2.7,0.5,5.4,11.84,8.3,5.8
2011.1.18,61,5,7,11,19,-10.1,-5.2,-5.1,-2.6,,,10.84,7.8,6.8
2011.1.19,59,5,6,11,19,-9.3,-5,-5,-2.5,0.5,5.5,11.17,8.3,7.8
2011.1.20,62,5,6,10,18,-10,-5.3,-5.4,-2.7,0.5,5.5,11.46,8.3,4.9
2011.1.21,61,5,6,10,18,-8.9,-5.2,-5.1,-2.7,,,11.51,8.3,4.5
2011.1.22,66,5,6,10,18,-7.1,-4.8,-4.5,-2.5,0.5,5.4,9.51,7,6.1
2011.1.23,88,5,6,10,18,-8,-4.6,-4.3,-2.5,0.4,5.2,3.14,0,2.9
2011.1.24,75,5,6,10,18,-8,-3.3,-2.8,-1.7,,,4.83,7.2,5.3
2011.1.25,73,5,6,10,18,-11,-3.9,-3.6,-2,0.5,5,9.01,6.3,6.1
2011.1.26,67,5,6,10,18,-10.4,-4.3,-4.1,-2.4,0.3,5,11.02,7.4,7.1
2011.1.27,64,5,6,10,18,-10.7,-4.9,-4.8,-2.7,,,12.44,8.5,6
2011.1.28,57,5,6,10,18,-8.5,-4.5,-4.2,-2.5,0,4.8,9.95,6.3,5.8
2011.1.29,54,5,6,10,17,-10.4,-4.9,-5,-2.9,,,12.87,8.3,11.3
2011.1.30,57,5,6,9,17,-11.4,-5.3,-5.5,-3.1,,,13.63,8.7,7.4
2011.1.31,67,5,6,9,17,-9.1,-5.4,-5.4,-3.2,0,4.5,12.65,8.7,6.7
