일시,1.5M 평균 습도(%),10CM 일 토양수분(%),20CM 일 토양수분(%),30CM 일 토양수분(%),50CM 일 토양수분(%),1.5M 평균 기온(°C),평균 지면온도(°C),5CM 평균 지중온도(°C),30CM 평균 지중온도(°C),0.5M 일 지중온도(°C),1.0M 일 지중온도(°C),일사량,일조시간,최대풍속
2011.1.1,54,25,24,24,26,2,1.8,2,7.6,11.6,15.6,4.69,1.1,12.7
2011.1.2,49,26,24,24,26,5,3.1,2,7.3,11.3,15.4,3.53,0.1,6.4
2011.1.3,51,28,27,26,26,5,3.9,2.2,6.7,11.1,15.3,2.59,0,11.6
2011.1.4,54,28,27,27,29,5.2,4.6,4,6.7,10.8,15.2,1.34,0,12.9
2011.1.5,52,27,26,26,29,5.5,4.8,4.6,7.3,10.5,15.1,1.7,0,10.3
2011.1.6,53,26,26,26,28,4,4.6,4.6,7.4,10.4,15,3.38,0.2,11.1
2011.1.7,57,26,26,26,28,4.6,5.6,4.7,7.4,10.4,14.7,4.22,0.5,8.1
2011.1.8,55,26,25,25,28,6,4.8,5,7.5,10.3,14.5,3.47,0.7,8.9
2011.1.9,49,26,25,25,27,4.5,6,5.5,7.8,10.4,14.4,1.98,0,10.4
2011.1.10,53,25,25,25,27,2.5,4.5,4.1,7.5,10.4,14.3,4.01,0.4,8.3
2011.1.11,48,25,25,25,27,3.5,4.3,3.9,7.4,10.3,14.2,2.27,0,9.6
2011.1.12,47,25,25,25,27,3.3,3.9,4,7.3,10.2,14.2,3.49,0.1,11.8
2011.1.13,54,25,25,25,27,3.5,4.2,3.5,7.2,10.2,14.1,9.89,4.3,7.1
2011.1.14,54,25,25,24,27,6.5,6.1,5.2,7.2,10.1,14.1,9.05,3.7,6.6
2011.1.15,53,25,25,24,26,1.1,4.9,4.5,7.5,10.1,14,3.15,0.3,13.7
2011.1.16,61,25,24,24,26,-0.9,2.5,2.9,7.3,10.1,13.8,3.79,0.1,12.1
2011.1.17,61,25,24,24,26,2.8,4,3.1,6.9,10,13.7,4.53,0.2,9.2
2011.1.18,53,25,24,24,26,3.8,4.9,4,7,9.7,13.6,2.29,0,5.1
2011.1.19,56,25,24,24,26,4.3,4.7,4.3,7.1,9.6,13.5,5.54,0.9,8
2011.1.20,64,25,24,24,26,4.9,4.3,4.5,7.3,9.6,13.4,2.85,0,6.6
2011.1.21,60,25,24,24,26,5.7,6.8,5.8,7.3,9.6,13.3,3.71,0.1,8.2
2011.1.22,56,24,24,24,26,6.6,8.1,6,7.5,9.6,13.3,9.96,5,8.1
2011.1.23,53,24,24,24,26,7.1,8.2,7,7.9,9.8,13.2,9.7,4.3,12.2
2011.1.24,48,24,24,24,26,2.9,6.1,4.6,8,10,13.2,2.66,0.1,13.8
2011.1.25,57,24,24,24,26,3.9,7.4,5.4,7.6,10,13.2,2,0,8.7
2011.1.26,55,24,24,24,26,4.4,7.7,5.2,7.6,9.9,13.2,4.75,0.7,6.9
2011.1.27,55,24,24,24,26,6,10,6.7,7.7,9.9,13.1,12.84,6.1,7.5
2011.1.28,56,24,24,24,26,5.2,6.9,6.1,8.2,9.9,13.1,10.02,3.6,8.2
2011.1.29,47,24,24,24,26,1.8,4.8,3.8,7.8,10,13.1,6.15,1.1,17.1
2011.1.30,61,23,24,24,25,0,3.7,3.1,7.3,9.9,13.1,3.9,0.3,11.1
2011.1.31,58,23,24,24,25,2.2,6.2,3.9,7.1,9.6,13,3.77,0,9
2011.2.1,60,23,24,23,25,5.8,6.7,4.7,7.1,9.5,13,13.99,6.7,5.7
2011.2.2,49,23,24,23,25,7.6,8.6,6.6,7.5,9.4,12.9,11.06,5.7,7.8
2011.2.3,46,23,24,23,25,8.4,10.3,6.8,7.9,9.6,12.8,13.67,8.8,9.1
2011.2.4,46,23,23,23,25,9,9.7,7.2,8.1,9.7,12.8,11.69,6.9,5.2
2011.2.5,47,23,23,23,25,9.6,10.9,8.3,8.5,9.9,12.7,13.45,8.9,5.8
2011.2.6,50,23,23,23,25,10.3,11.1,8.4,8.8,10.1,12.7,13.72,8.2,9.7
2011.2.7,56,23,23,23,25,9.3,11,8.5,9.1,10.2,12.7,14.47,8.6,7.3
2011.2.8,74,23,23,23,25,10.6,8.5,8.4,9.3,10.3,12.7,1.81,0.1,5.9
2011.2.9,53,23,23,23,25,9,10.4,8.2,9.3,10.5,12.7,12.25,5.1,7.4
2011.2.10,65,23,23,23,25,6.7,6.4,6.8,9.3,10.6,12.8,1.41,0,6
2011.2.11,58,23,23,23,25,4.9,9.5,7.2,9.1,10.7,12.8,5.89,1,12.5
2011.2.12,57,23,23,23,25,1.3,5.4,4.5,8.7,10.7,12.8,6.51,0.7,10.8
2011.2.13,65,24,23,23,25,3.3,3.2,3.7,8.1,10.4,12.9,3.86,0,6.5
2011.2.14,53,24,23,23,25,3.5,6.9,4.9,7.7,10.2,12.9,6.48,0.9,12.2
2011.2.15,49,24,23,23,25,4.9,8.5,5.6,7.7,10.1,12.8,5.58,0,5.3
2011.2.16,72,24,23,23,25,8.7,7.7,6.9,8.1,10,12.8,6.69,0.6,7.4
2011.2.17,78,28,25,23,25,9.7,10.1,9.2,8.8,10,12.7,5.3,0.4,6
2011.2.18,56,27,26,25,25,8.2,9.8,7.9,9.2,10.2,12.7,15.88,7.9,7.4
2011.2.19,53,27,26,25,26,9.2,9.1,8,9.1,10.3,12.6,10.06,1.7,7.1
2011.2.20,43,26,26,25,26,10.5,10.9,8.6,9.2,10.4,12.6,16.77,9,8.7
2011.2.21,54,26,25,25,26,9.9,13,10.1,9.7,10.6,12.7,13.72,5.5,10.7
2011.2.22,53,26,25,25,26,10.6,12.7,10.3,10,10.9,12.7,9.65,1.6,8.9
2011.2.23,64,25,25,25,26,12.6,16,12.2,10.5,11,12.7,14.23,5.1,8.6
2011.2.24,65,25,25,25,26,14.1,17.5,13.7,11.3,11.1,12.8,12.49,3.2,6.3
2011.2.25,47,25,25,24,26,13.5,16,12.9,11.8,11.4,12.9,16.52,7.2,6.4
2011.2.26,64,25,25,24,26,12.5,14.2,12.4,11.9,11.7,12.9,18.41,8.4,12.2
2011.2.27,91,25,25,24,26,16,15.8,14.5,12.3,12,13.1,5.58,1.3,9.4
2011.2.28,84,25,25,24,26,11.5,12.5,12.5,12.8,12.2,13.1,1.77,0,8.5
2011.3.1,70,26,25,24,26,8.4,11.9,11.4,12.3,12.4,13.2,1.26,0.1,8.4
2011.3.2,47,26,25,24,26,5.6,9.3,8.4,11.6,12.5,13.2,17.76,6.4,11.1
2011.3.3,46,26,25,24,26,4.8,9.7,8,10.9,12.3,13.3,11.83,3.8,10.5
2011.3.4,51,25,25,24,26,5.6,10.4,8.2,10.3,12.1,13.3,11.89,2.9,7.9
2011.3.5,60,25,25,24,26,8.2,11.4,9.2,10.3,11.9,13.4,17.93,7.5,6.3
2011.3.6,64,25,25,24,26,9.1,8.8,8.8,10.6,11.7,13.4,3.16,0,5.6
2011.3.7,43,25,25,24,26,7.6,12.8,9.8,10.4,11.7,13.3,,,12.7
2011.3.8,38,24,24,24,26,7.5,11.7,9.1,10.3,11.6,13.3,20.47,9.7,10.1
2011.3.9,35,24,24,24,26,7.4,11.7,9.2,10.2,11.5,13.3,19.31,9.1,11.8
2011.3.10,40,24,24,24,26,7.5,12.6,9.4,10,11.4,13.3,22.03,10.4,8.5
2011.3.11,44,24,24,24,26,9.9,13.4,10.3,10.2,11.3,13.3,21.36,10.4,10.5
2011.3.12,52,24,24,24,25,11.2,15.5,12.1,10.7,11.4,13.3,17.99,7.5,7.5
2011.3.13,65,23,24,24,25,13,18.2,14,11.3,11.5,13.2,19.13,9.1,5.2
2011.3.14,59,23,24,24,25,12.7,11.5,11.6,12,11.8,13.2,5.48,0.3,6.5
2011.3.15,50,23,24,24,25,8.7,12.5,10.9,11.6,12.1,13.2,14.95,4.9,15.1
2011.3.16,38,22,24,24,25,6,11.9,9.4,11.3,12.1,13.3,18.59,8.5,12.5
2011.3.17,36,22,24,23,25,8.2,14.9,10.8,11,12,13.3,21.72,8.2,11.7
2011.3.18,51,22,23,23,25,10.7,13.4,11,11.2,12,13.3,14.58,4.4,7.3
2011.3.19,76,22,23,23,25,13.2,16.7,13.5,11.6,12,13.3,14.33,3.3,8.1
2011.3.20,88,32,30,29,24,14.9,17.4,15.4,12.7,12.1,13.3,6.81,0.8,8.3
2011.3.21,86,30,29,29,30,10.6,11.5,12,13.2,12.5,13.3,1.82,0,8.4
2011.3.22,45,29,28,28,31,8,10.9,9.9,12.3,12.9,13.3,13.21,4.2,9.8
2011.3.23,41,27,27,27,29,7.6,11.1,9.7,11.4,12.7,13.4,18.27,6.7,9.9
